"country_id","country_name","country_code","region_id","region_name","continent_id","continent_name"
454,Malawi,MWI,14,Eastern Africa,2,Africa
458,Malaysia,MYS,35,South-Eastern Asia,142,Asia
462,Maldives,MDV,30,Eastern Asia,142,Asia
466,Mali,MLI,11,Western Africa,2,Africa
470,Malta,MLT,39,Southern Europe,150,Europe
584,Marshall Islands,MHL,57,Micronesia,9,Oceania
474,Martinique,MTQ,29,Caribbean,419,Latin America and the Caribbean
478,Mauritania,MRT,11,Western Africa,2,Africa
480,Mauritius,MUS,14,Eastern Africa,2,Africa
175,Mayotte,MYT,14,Eastern Africa,2,Africa
484,Mexico,MEX,13,Central America,419,Latin America and the Caribbean
583,Micronesia (Federated States of),FSM,57,Micronesia,9,Oceania
492,Monaco,MCO,155,Western Europe,150,Europe
496,Mongolia,MNG,30,Eastern Asia,142,Asia
499,Montenegro,MNE,39,Southern Europe,150,Europe
500,Montserrat,MSR,29,Caribbean,419,Latin America and the Caribbean
504,Morocco,MAR,15,Northern Africa,2,Africa
508,Mozambique,MOZ,14,Eastern Africa,2,Africa
104,Myanmar,MMR,35,South-Eastern Asia,142,Asia
516,Namibia,NAM,18,Southern Africa,2,Africa
520,Nauru,NRU,57,Micronesia,9,Oceania
524,Nepal,NPL,30,Eastern Asia,142,Asia
528,Netherlands,NLD,155,Western Europe,150,Europe
540,New Caledonia,NCL,54,Melanesia,9,Oceania
554,New Zealand,NZL,53,Australia and New Zealand,9,Oceania
558,Nicaragua,NIC,13,Central America,419,Latin America and the Caribbean
562,Niger,NER,11,Western Africa,2,Africa
566,Nigeria,NGA,11,Western Africa,2,Africa
570,Niue,NIU,61,Polynesia,9,Oceania
574,Norfolk Island,NFK,53,Australia and New Zealand,9,Oceania
580,Northern Mariana Islands,MNP,57,Micronesia,9,Oceania
578,Norway,NOR,154,Northern Europe,150,Europe
275,Occupied Palestinian Territory,PSE,145,Western Asia,142,Asia
512,Oman,OMN,145,Western Asia,142,Asia
586,Pakistan,PAK,30,Eastern Asia,142,Asia
585,Palau,PLW,57,Micronesia,9,Oceania
591,Panama,PAN,13,Central America,419,Latin America and the Caribbean
598,Papua New Guinea,PNG,54,Melanesia,9,Oceania
600,Paraguay,PRY,5,South America,419,Latin America and the Caribbean
604,Peru,PER,5,South America,419,Latin America and the Caribbean
608,Philippines,PHL,35,South-Eastern Asia,142,Asia
612,Pitcairn,PCN,61,Polynesia,9,Oceania
616,Poland,POL,151,Eastern Europe,150,Europe
620,Portugal,PRT,39,Southern Europe,150,Europe
630,Puerto Rico,PRI,29,Caribbean,419,Latin America and the Caribbean
634,Qatar,QAT,145,Western Asia,142,Asia
410,Republic of Korea,KOR,30,Eastern Asia,142,Asia
498,Republic of Moldova,MDA,151,Eastern Europe,150,Europe
638,RГ©union,REU,14,Eastern Africa,2,Africa
642,Romania,ROU,151,Eastern Europe,150,Europe
643,Russian Federation,RUS,151,Eastern Europe,150,Europe
646,Rwanda,RWA,14,Eastern Africa,2,Africa
654,Saint Helena,SHN,11,Western Africa,2,Africa
659,Saint Kitts and Nevis,KNA,29,Caribbean,419,Latin America and the Caribbean
662,Saint Lucia,LCA,29,Caribbean,419,Latin America and the Caribbean
663,Saint-Martin (French part),MAF,29,Caribbean,419,Latin America and the Caribbean
666,Saint Pierre and Miquelon,SPM,21,Northern America,21,Northern America
670,Saint Vincent and the Grenadines,VCT,29,Caribbean,419,Latin America and the Caribbean
882,Samoa,WSM,61,Polynesia,9,Oceania
674,San Marino,SMR,39,Southern Europe,150,Europe
678,Sao Tome and Principe,STP,17,Middle Africa,2,Africa
682,Saudi Arabia,SAU,145,Western Asia,142,Asia
686,Senegal,SEN,11,Western Africa,2,Africa
688,Serbia,SRB,39,Southern Europe,150,Europe
690,Seychelles,SYC,14,Eastern Africa,2,Africa
694,Sierra Leone,SLE,11,Western Africa,2,Africa
702,Singapore,SGP,35,South-Eastern Asia,142,Asia
534,Sint Maarten (Dutch part),SXM,29,Caribbean,419,Latin America and the Caribbean
703,Slovakia,SVK,151,Eastern Europe,150,Europe
705,Slovenia,SVN,39,Southern Europe,150,Europe
90,Solomon Islands,SLB,54,Melanesia,9,Oceania
706,Somalia,SOM,14,Eastern Africa,2,Africa
710,South Africa,ZAF,18,Southern Africa,2,Africa
728,South Sudan,SSD,15,Northern Africa,2,Africa
724,Spain,ESP,39,Southern Europe,150,Europe
144,Sri Lanka,LKA,30,Eastern Asia,142,Asia
729,Sudan,SDN,15,Northern Africa,2,Africa
740,Suriname,SUR,5,South America,419,Latin America and the Caribbean
744,Svalbard and Jan Mayen Islands,SJM,154,Northern Europe,150,Europe
748,Swaziland,SWZ,18,Southern Africa,2,Africa
752,Sweden,SWE,154,Northern Europe,150,Europe
756,Switzerland,CHE,155,Western Europe,150,Europe
760,Syrian Arab Republic,SYR,145,Western Asia,142,Asia
762,Tajikistan,TJK,143,Central Asia,142,Asia
764,Thailand,THA,35,South-Eastern Asia,142,Asia
807,The former Yugoslav Republic of Macedonia,MKD,39,Southern Europe,150,Europe
626,Timor-Leste,TLS,35,South-Eastern Asia,142,Asia
768,Togo,TGO,11,Western Africa,2,Africa
772,Tokelau,TKL,61,Polynesia,9,Oceania
776,Tonga,TON,61,Polynesia,9,Oceania
780,Trinidad and Tobago,TTO,29,Caribbean,419,Latin America and the Caribbean
788,Tunisia,TUN,15,Northern Africa,2,Africa
792,Turkey,TUR,145,Western Asia,142,Asia
795,Turkmenistan,TKM,143,Central Asia,142,Asia
796,Turks and Caicos Islands,TCA,29,Caribbean,419,Latin America and the Caribbean
798,Tuvalu,TUV,61,Polynesia,9,Oceania
800,Uganda,UGA,14,Eastern Africa,2,Africa
804,Ukraine,UKR,151,Eastern Europe,150,Europe
784,United Arab Emirates,ARE,145,Western Asia,142,Asia
826,United Kingdom of Great Britain and Northern Ireland,GBR,154,Northern Europe,150,Europe
834,United Republic of Tanzania,TZA,14,Eastern Africa,2,Africa
840,United States of America,USA,21,Northern America,21,Northern America
850,United States Virgin Islands,VIR,29,Caribbean,419,Latin America and the Caribbean
858,Uruguay,URY,5,South America,419,Latin America and the Caribbean
860,Uzbekistan,UZB,143,Central Asia,142,Asia
548,Vanuatu,VUT,54,Melanesia,9,Oceania
862,Venezuela (Bolivarian Republic of),VEN,5,South America,419,Latin America and the Caribbean
704,Viet Nam,VNM,35,South-Eastern Asia,142,Asia
876,Wallis and Futuna Islands,WLF,61,Polynesia,9,Oceania
732,Western Sahara,ESH,15,Northern Africa,2,Africa
887,Yemen,YEM,145,Western Asia,142,Asia
894,Zambia,ZMB,14,Eastern Africa,2,Africa
716,Zimbabwe,ZWE,14,Eastern Africa,2,Africa
